Index,Station code,Station name,اسم المحطة,Metro line number,Metro line name,اسم مسار القطار,Station type code,Station type,نوع المحطة,Sequence of the stops,Comments,التعليقات,Geographical coordinates,geo_point_2d
95,S23,Transportation Center,مركز النقل العام,Line1,Blue line,المسار الأزرق,1,Elevated,مرتفع,23,,,"{""coordinates"": [46.74514116213327, 24.59798690948253], ""type"": ""Point""}","24.59798690948253, 46.74514116213327"
61,S26,King Saud University,جامعة الملك سعود,Line2,Red line,المسار الأحمر,1,Elevated,مرتفع,26,,,"{""coordinates"": [46.62871099499831, 24.70967823253188], ""type"": ""Point""}","24.70967823253188, 46.62871099499831"
48,S28,KACST,المدينة التقنية,Line2,Red line,المسار الأحمر,3,Shallow Underground,تحت الأرض على عمق ضحل,28,,,"{""coordinates"": [46.64693246597055, 24.72017061216426], ""type"": ""Point""}","24.72017061216426, 46.64693246597055"
35,S29,At Takhassussi,التخصصي,Line2,Red line,المسار الأحمر,3,Shallow Underground,تحت الأرض على عمق ضحل,29,,,"{""coordinates"": [46.65464898678899, 24.72340744244227], ""type"": ""Point""}","24.72340744244227, 46.65464898678899"
29,S33,An Nuzhah,النزهة,Line2,Red line,المسار الأحمر,2,At Grade,على مستوى الأرض,34,,,"{""coordinates"": [46.71311355644504, 24.74782156645681], ""type"": ""Point""}","24.74782156645681, 46.71311355644504"
9,S36,Al Hamra,الحمراء,Line2,Red line,المسار الأحمر,1,Elevated,مرتفع,37,,,"{""coordinates"": [46.77675786070972, 24.77642102227688], ""type"": ""Point""}","24.77642102227688, 46.77675786070972"
37,S38,Ishbiliyah,اشبيليا,Line2,Red line,المسار الأحمر,2,At Grade,على مستوى الأرض,39,,,"{""coordinates"": [46.81106855810685, 24.79216004055396], ""type"": ""Point""}","24.79216004055396, 46.81106855810685"
47,S40,Jeddah Road,طريق جده,Line3,Orange line,المسار البرتقالي,1,Elevated,مرتفع,41,,,"{""coordinates"": [46.54339421952785, 24.59121360322294], ""type"": ""Point""}","24.59121360322294, 46.54339421952785"
96,S41,Tuwaiq,طويق,Line3,Orange line,المسار البرتقالي,1,Elevated,مرتفع,42,,,"{""coordinates"": [46.56190383360955, 24.58532648766099], ""type"": ""Point""}","24.58532648766099, 46.56190383360955"
4,S42,Ad Douh,الدوح,Line3,Orange line,المسار البرتقالي,1,Elevated,مرتفع,43,,,"{""coordinates"": [46.58806971836369, 24.58293167966869], ""type"": ""Point""}","24.58293167966869, 46.58806971836369"
